Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_13TeV_16Dec2015ReReco_Collisions15_25ns_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 254227:4201 | 08/13/15 03:37:31 | 180  | 180  | 0.235701158    | 0.231810810   |
| 254231:4201 | 08/13/15 05:14:40 | 24   | 24   | 0.032276555    | 0.031778291   |
| 254232:4201 | 08/13/15 05:43:48 | 81   | 81   | 0.107318545    | 0.105716610   |
| 254790:4243 | 08/21/15 05:24:04 | 690  | 690  | 11.385085290   | 11.118202730  |
| 254852:4249 | 08/22/15 13:46:23 | 48   | 48   | 0.934999700    | 0.875588044   |
| 254879:4254 | 08/23/15 03:34:41 | 88   | 88   | 1.846669180    | 1.751711651   |
| 254905:4256 | 08/23/15 15:00:41 | 204  | 204  | 4.391763971    | 4.243994342   |
| 254906:4256 | 08/23/15 16:23:48 | 75   | 75   | 1.556050395    | 1.524509886   |
| 254907:4256 | 08/23/15 16:55:45 | 52   | 52   | 1.063106155    | 1.043144936   |
| 254914:4257 | 08/23/15 21:02:20 | 46   | 46   | 0.967987945    | 0.899315975   |
| 256630:4376 | 09/16/15 12:20:57 | 22   | 22   | 1.064347424    | 0.992920213   |
| 256673:4381 | 09/17/15 01:46:10 | 2    | 2    | 0.097237076    | 0.005669645   |
| 256674:4381 | 09/17/15 01:47:46 | 2    | 2    | 0.096720327    | 0.094582603   |
| 256675:4381 | 09/17/15 01:50:18 | 162  | 162  | 7.740638674    | 7.526094857   |
| 256676:4381 | 09/17/15 02:55:57 | 1086 | 1086 | 46.281296992   | 44.194529171  |
| 256677:4381 | 09/17/15 09:59:03 | 479  | 479  | 17.964178695   | 15.859804507  |
| 256729:4384 | 09/17/15 20:25:30 | 1728 | 1728 | 70.703981036   | 68.325431077  |
| 256734:4384 | 09/18/15 08:06:26 | 213  | 213  | 7.523358433    | 7.337304834   |
| 256801:4386 | 09/18/15 16:00:07 | 191  | 191  | 9.368362245    | 9.047643062   |
| 256842:4391 | 09/19/15 06:58:19 | 2    | 2    | 0.091249901    | 0.017108240   |
| 256843:4391 | 09/19/15 07:02:10 | 1320 | 1320 | 53.163547332   | 51.705782945  |
| 256866:4393 | 09/19/15 22:02:52 | 14   | 14   | 0.738137470    | 0.058614637   |
| 256867:4393 | 09/19/15 22:11:45 | 94   | 94   | 4.890893006    | 4.756606552   |
| 256868:4393 | 09/19/15 22:55:07 | 487  | 487  | 23.958801601   | 23.061254013  |
| 256869:4393 | 09/20/15 02:07:40 | 34   | 34   | 1.608771403    | 1.571309331   |
| 256926:4397 | 09/20/15 19:09:17 | 31   | 31   | 1.821917393    | 1.663191802   |
| 256936:4398 | 09/21/15 02:42:09 | 669  | 669  | 32.109231819   | 30.949580715  |
| 256941:4398 | 09/21/15 07:30:01 | 290  | 290  | 12.520281010   | 12.149355256  |
| 257394:4410 | 09/24/15 02:14:13 | 32   | 32   | 1.859592095    | 1.690687285   |
| 257395:4410 | 09/24/15 02:28:44 | 13   | 13   | 0.751655549    | 0.728670791   |
| 257396:4410 | 09/24/15 02:38:46 | 216  | 216  | 12.123713985   | 11.576977413  |
| 257397:4410 | 09/24/15 04:06:57 | 119  | 119  | 6.445314845    | 6.206787786   |
| 257399:4410 | 09/24/15 05:12:49 | 271  | 271  | 14.099180325   | 13.656112522  |
| 257400:4410 | 09/24/15 07:03:56 | 1224 | 1224 | 55.540957072   | 53.324703463  |
| 257461:4418 | 09/25/15 05:51:21 | 52   | 52   | 3.338130455    | 3.188256352   |
| 257487:4420 | 09/25/15 11:49:47 | 1075 | 1075 | 68.388312451   | 66.273148706  |
| 257490:4420 | 09/25/15 18:55:00 | 636  | 636  | 34.820540657   | 33.915289347  |
| 257531:4423 | 09/26/15 09:37:19 | 135  | 135  | 9.150413934    | 8.720063674   |
| 257599:4426 | 09/26/15 21:47:23 | 77   | 77   | 5.420280181    | 5.140676737   |
| 257613:4428 | 09/27/15 04:26:52 | 1294 | 1294 | 80.646662384   | 78.261214476  |
| 257614:4428 | 09/27/15 12:52:08 | 16   | 16   | 0.895176108    | 0.875537312   |
| 257645:4432 | 09/27/15 23:26:52 | 1060 | 1060 | 66.457039450   | 64.658534926  |
| 257682:4434 | 09/28/15 11:59:23 | 301  | 301  | 14.190889637   | 13.694272345  |
| 257722:4435 | 09/28/15 17:20:59 | 19   | 19   | 0.931732764    | 0.851410388   |
| 257723:4435 | 09/28/15 17:31:51 | 142  | 142  | 6.836819053    | 6.249619634   |
| 257735:4435 | 09/28/15 22:05:27 | 15   | 15   | 0.572335985    | 0.561162449   |
| 257751:4437 | 09/29/15 04:53:56 | 463  | 463  | 28.908649330   | 28.140962850  |
| 257804:4440 | 09/29/15 13:35:04 | 17   | 17   | 1.283129115    | 0.219957888   |
| 257805:4440 | 09/29/15 13:49:01 | 249  | 249  | 18.253811564   | 17.718751616  |
| 257816:4440 | 09/29/15 15:33:56 | 385  | 385  | 25.945182508   | 25.159676630  |
| 257819:4440 | 09/29/15 18:11:51 | 248  | 248  | 16.159460821   | 15.652208810  |
| 257822:4440 | 09/29/15 20:00:34 | 1388 | 1388 | 79.332883343   | 77.240169532  |
| 257823:4440 | 09/30/15 05:05:37 | 171  | 171  | 8.795681671    | 8.556248885   |
| 257968:4444 | 09/30/15 23:42:22 | 258  | 258  | 18.081892525   | 17.481270961  |
| 257969:4444 | 10/01/15 01:24:08 | 634  | 634  | 41.705948418   | 40.677195677  |
| 258129:4448 | 10/02/15 09:56:47 | 95   | 95   | 6.259827677    | 6.000839203   |
| 258136:4448 | 10/02/15 10:38:14 | 60   | 60   | 3.878015024    | 3.734030432   |
| 258157:4449 | 10/02/15 14:07:10 | 56   | 56   | 4.136146807    | 4.023025990   |
| 258158:4449 | 10/02/15 14:33:52 | 1786 | 1786 | 112.282012768  | 109.409957280 |
| 258159:4449 | 10/03/15 02:09:44 | 501  | 501  | 26.930082656   | 26.338732290  |
| 258177:4452 | 10/03/15 20:21:28 | 2120 | 2120 | 123.597354375  | 120.500244392 |
| 258211:4455 | 10/04/15 16:54:29 | 87   | 87   | 6.994576591    | 6.720211888   |
