Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_271036-284044_13TeV_23Sep2016ReReco_Collisions16_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 273150:4915 | 05/11/16 20:24:04 | 11   | 11   | 0.532546619    | 0.385172698   |
| 273158:4915 | 05/11/16 20:43:22 | 1277 | 1277 | 53.484039471   | 50.220210884  |
| 273302:4919 | 05/13/16 02:13:38 | 459  | 459  | 17.011129679   | 16.319201786  |
| 273402:4924 | 05/14/16 01:49:19 | 193  | 193  | 6.960092839    | 6.584577427   |
| 273403:4924 | 05/14/16 03:05:27 | 53   | 53   | 1.918049639    | 1.820958590   |
| 273404:4924 | 05/14/16 03:31:50 | 18   | 18   | 0.646816650    | 0.610802642   |
| 273405:4924 | 05/14/16 03:42:09 | 25   | 25   | 0.895381506    | 0.832936186   |
| 273406:4924 | 05/14/16 03:56:09 | 112  | 112  | 3.952615922    | 3.773872421   |
| 273408:4924 | 05/14/16 04:52:04 | 6    | 6    | 0.208320845    | 0.180194856   |
| 273409:4924 | 05/14/16 04:56:41 | 309  | 309  | 10.508777654   | 9.442193277   |
| 273410:4924 | 05/14/16 06:59:49 | 90   | 90   | 2.970412768    | 2.729404633   |
| 273411:4924 | 05/14/16 07:38:50 | 29   | 29   | 0.784747006    | 0.734874844   |
| 273425:4925 | 05/14/16 11:17:57 | 672  | 672  | 28.141727566   | 26.757842506  |
| 273426:4925 | 05/14/16 15:44:51 | 60   | 60   | 2.177317202    | 2.037135657   |
| 273446:4926 | 05/14/16 20:06:55 | 33   | 33   | 2.289446140    | 2.140645565   |
| 273447:4926 | 05/14/16 20:26:09 | 412  | 412  | 27.284803050   | 25.976359752  |
| 273448:4926 | 05/14/16 23:11:51 | 391  | 391  | 23.818146088   | 22.661434206  |
| 273449:4926 | 05/15/16 01:50:28 | 208  | 208  | 11.937811481   | 11.394741850  |
| 273450:4926 | 05/15/16 03:19:37 | 647  | 647  | 33.825480036   | 32.389699543  |
| 273492:4930 | 05/16/16 09:07:35 | 267  | 267  | 12.769610154   | 12.223410665  |
| 273493:4930 | 05/16/16 10:55:49 | 230  | 230  | 10.778562092   | 10.359205046  |
| 273494:4930 | 05/16/16 12:28:40 | 192  | 192  | 8.715402512    | 8.433104773   |
