Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_294927-306462_13TeV_EOY2017ReReco_Collisions17_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 297050:5839 | 06/16/17 20:55:44 | 765  | 765  | 105.622500006  | 102.717147597 |
| 297056:5840 | 06/17/17 05:00:46 | 192  | 192  | 32.591964364   | 29.288606047  |
| 297057:5840 | 06/17/17 06:18:36 | 906  | 906  | 121.961116698  | 118.777797598 |
| 297099:5842 | 06/17/17 19:23:59 | 39   | 39   | 7.762296615    | 7.194742183   |
| 297100:5842 | 06/17/17 19:41:21 | 381  | 379  | 78.767660743   | 74.244440077  |
| 297101:5842 | 06/17/17 22:12:25 | 1101 | 1101 | 168.192692756  | 164.056509446 |
| 297113:5845 | 06/18/17 12:43:12 | 247  | 240  | 58.108717289   | 52.359686750  |
| 297114:5845 | 06/18/17 14:21:04 | 156  | 156  | 34.154672506   | 33.071606459  |
| 297175:5848 | 06/19/17 19:04:40 | 85   | 76   | 19.072698794   | 15.880451088  |
| 297176:5848 | 06/19/17 19:42:18 | 204  | 200  | 43.331146730   | 40.710154394  |
| 297177:5848 | 06/19/17 21:04:30 | 162  | 158  | 32.266096266   | 30.311822635  |
| 297178:5848 | 06/19/17 22:09:07 | 1385 | 1378 | 204.373789161  | 199.148752169 |
| 297215:5849 | 06/20/17 13:53:03 | 47   | 47   | 13.026156100   | 12.287170309  |
| 297218:5849 | 06/20/17 14:14:26 | 27   | 24   | 7.266782869    | 3.701263171   |
| 297219:5849 | 06/20/17 14:26:07 | 2638 | 2637 | 440.406899770  | 425.228146419 |
| 297224:5849 | 06/21/17 07:56:03 | 129  | 129  | 12.201263638   | 11.790822900  |
| 297225:5849 | 06/21/17 08:49:06 | 32   | 25   | 2.943522899    | 2.194205946   |
| 297227:5849 | 06/21/17 09:04:44 | 184  | 184  | 15.814927691   | 15.669415566  |
| 297292:5856 | 06/22/17 02:42:29 | 753  | 750  | 185.942852062  | 173.872813814 |
| 297293:5856 | 06/22/17 07:41:33 | 150  | 144  | 30.846493475   | 28.077366431  |
| 297296:5856 | 06/22/17 08:47:07 | 497  | 492  | 90.737208483   | 85.837306045  |
| 297308:5856 | 06/22/17 12:06:46 | 44   | 44   | 6.548255953    | 6.297792172   |
| 297359:5862 | 06/23/17 03:26:00 | 142  | 142  | 43.834863690   | 41.918123678  |
| 297411:5864 | 06/23/17 13:35:24 | 919  | 919  | 212.258094549  | 202.797055298 |
| 297424:5865 | 06/24/17 00:42:30 | 118  | 117  | 34.421303526   | 31.269800383  |
| 297425:5865 | 06/24/17 01:29:38 | 157  | 153  | 44.863782366   | 41.994866258  |
| 297426:5865 | 06/24/17 02:30:35 | 111  | 110  | 29.349615066   | 26.950047726  |
| 297429:5865 | 06/24/17 03:24:57 | 72   | 72   | 18.312501196   | 17.366166374  |
| 297430:5865 | 06/24/17 04:03:47 | 200  | 200  | 48.441488464   | 46.272337437  |
| 297431:5865 | 06/24/17 05:23:08 | 188  | 185  | 41.778509312   | 39.197857344  |
| 297432:5865 | 06/24/17 06:36:23 | 125  | 125  | 26.550528959   | 25.592783149  |
| 297433:5865 | 06/24/17 07:41:47 | 159  | 153  | 31.799923851   | 29.638958647  |
| 297434:5865 | 06/24/17 08:43:17 | 161  | 156  | 30.295415322   | 28.677731744  |
| 297435:5865 | 06/24/17 09:45:40 | 94   | 94   | 17.018092709   | 16.643700559  |
| 297467:5868 | 06/24/17 19:39:23 | 112  | 112  | 36.070706179   | 32.437572076  |
| 297468:5868 | 06/24/17 20:28:56 | 74   | 74   | 24.093418066   | 23.129902063  |
| 297469:5868 | 06/24/17 21:02:04 | 70   | 70   | 21.915894672   | 19.307818279  |
| 297474:5870 | 06/25/17 00:56:11 | 6    | 6    | 1.603225829    | 1.512500314   |
| 297483:5872 | 06/25/17 05:36:28 | 178  | 177  | 53.326671909   | 49.345774790  |
| 297484:5872 | 06/25/17 06:47:17 | 214  | 214  | 60.917053019   | 57.870962218  |
| 297485:5872 | 06/25/17 08:17:19 | 420  | 415  | 104.961198737  | 98.886449243  |
| 297486:5872 | 06/25/17 11:05:54 | 625  | 623  | 128.042100575  | 123.695963122 |
| 297487:5872 | 06/25/17 15:14:37 | 613  | 604  | 100.190432984  | 96.303586384  |
| 297488:5872 | 06/25/17 19:17:09 | 424  | 424  | 57.159729201   | 55.669528926  |
| 297503:5873 | 06/26/17 02:02:26 | 775  | 772  | 197.663315880  | 187.467714683 |
| 297504:5873 | 06/26/17 07:10:25 | 55   | 54   | 11.850764028   | 10.836245996  |
| 297505:5873 | 06/26/17 08:06:28 | 394  | 394  | 76.296059009   | 74.256537933  |
| 297557:5876 | 06/26/17 23:20:35 | 349  | 349  | 104.645072504  | 97.506638377  |
| 297558:5876 | 06/27/17 01:56:22 | 258  | 255  | 68.404483996   | 64.909735295  |
| 297562:5876 | 06/27/17 05:58:50 | 319  | 318  | 64.025559669   | 61.496356091  |
| 297563:5876 | 06/27/17 08:23:20 | 264  | 264  | 47.412427225   | 45.841466374  |
| 297598:5878 | 06/27/17 14:59:43 | 13   | 6    | 4.094701694    | 1.177114775   |
| 297599:5878 | 06/27/17 15:06:25 | 407  | 402  | 114.805074270  | 107.104133660 |
| 297603:5878 | 06/27/17 17:52:22 | 420  | 418  | 103.179053654  | 98.963659431  |
| 297604:5878 | 06/27/17 20:44:33 | 407  | 404  | 84.826255332   | 81.560742467  |
| 297605:5878 | 06/27/17 23:22:43 | 374  | 371  | 68.238147328   | 65.306684277  |
| 297606:5878 | 06/28/17 02:10:08 | 231  | 231  | 37.112537185   | 36.206317027  |
| 297620:5880 | 06/28/17 10:09:22 | 287  | 287  | 88.077411768   | 82.127437132  |
| 297656:5882 | 06/28/17 17:29:00 | 398  | 395  | 127.311578103  | 116.865978970 |
| 297665:5882 | 06/29/17 00:46:59 | 279  | 276  | 60.635377730   | 58.126960681  |
| 297666:5882 | 06/29/17 02:42:25 | 121  | 121  | 24.387712337   | 22.957860355  |
| 297670:5883 | 06/29/17 06:26:33 | 14   | 7    | 4.686678582    | 2.132356497   |
| 297674:5883 | 06/29/17 07:15:59 | 186  | 181  | 57.563140622   | 52.895058701  |
